	rxn	precursors	products	uspto_prediction	uspto_can_prediction	uspto_score	carbo_prediction	carbo_can_prediction	carbo_score
jacs_1	BrCc1ccc2ccccc2c1.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[Sn](=O)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](O)[C@@H]1O>>C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O	BrCc1ccc2ccccc2c1.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[Sn](=O)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](O)[C@@H]1O	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OCc2ccc3ccccc3c2)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OCc1ccc2ccccc2c1	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OCc2ccc3ccccc3c2)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OCc1ccc2ccccc2c1	0.486010431	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O	0.882599586
jacs_2	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1>>C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](O)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	0.775781543	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	0.916731396
jacs_3	CCCC[N+](CCCC)(CCCC)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F.[N-]=[N+]=[N-]>>C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	CCCC[N+](CCCC)(CCCC)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@@H](OS(=O)(=O)C(F)(F)F)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F.[N-]=[N+]=[N-]	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F	0.888989318	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1N=[N+]=[N-]	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1N=[N+]=[N-]	0.987720215
jacs_4	CCCC[N+](CCCC)(CCCC)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F.O=N[O-]>>C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O	CCCC[N+](CCCC)(CCCC)CCCC.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OS(=O)(=O)C(F)(F)F.O=N[O-]	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OS(=O)(=O)C(F)(F)F	0.289047235	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O	0.998985805
jacs_5	BrCc1ccccc1.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O.[NaH]>>C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	BrCc1ccccc1.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1O.[NaH]	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.974730057	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.997641488
jacs_6	C1CCOC1.CC(=O)O.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.[Zn]>>C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C1CCOC1.CC(=O)O.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.[Zn]	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.986580156	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.981522781
jacs_7	C1CCOC1.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.O=C(Cl)C(Cl)(Cl)Cl>>C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C1CCOC1.C[C@H]1O[C@@H](Sc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.O=C(Cl)C(Cl)(Cl)Cl	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.986299815	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.999927523
jacs_8	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C(NCCCO)OCc1ccccc1.O=C1CCC(=O)N1I>>C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](Sc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C(NCCCO)OCc1ccccc1.O=C1CCC(=O)N1I	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.631476906	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.741100026
jacs_9	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O>>C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1.N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@H]1OCc1ccccc1	0.693553607	C[C@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1	C[C@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1	0.384455629
jacs_10	CCN(CC)C(C)C.C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](O)[C@H]1O.C[Sn](C)(Cl)Cl.O=C(Cl)c1ccccc1>>C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O	CCN(CC)C(C)C.C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](O)[C@H]1O.C[Sn](C)(Cl)Cl.O=C(Cl)c1ccccc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1	0.759870918	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O	0.440523365
